Name,Sport,Age,Height,Weight,Sex
Dimitrios Loundras,Gymnastics,10.0,,,M
Luigina Giavotti,Gymnastics,11.0,,,F
Inge Srensen (-Tabur),Swimming,12.0,,,F
Carla Marangoni,Gymnastics,12.0,,,F
tienne Nol Henri Vandernotte,Rowing,12.0,,37.0,M
Ines Vercesi,Gymnastics,12.0,,,F
Anna Luisa Tanzini,Gymnastics,13.0,,,F
Robin Marie Corsiglia (-Scholefield),Swimming,13.0,157.0,45.0,F
Nils Skoglund,Diving,13.0,,,M
Hans Bourquin,Rowing,13.0,,,M
Elizabeth Mary Ryan,Swimming,13.0,,,F
Klaus Zerta,Rowing,13.0,165.0,48.0,M
Nian Yun,Swimming,13.0,168.0,61.0,F
Marjorie Gestring (-Redlick),Diving,13.0,,,F
Josip Rei,Rowing,14.0,169.0,51.0,M
Germana Malabarba,Gymnastics,14.0,,,F
Marcel Gaston Charles Frbourg,Rowing,14.0,,,M
Shannon Smith,Swimming,14.0,174.0,63.0,F
Luigina Perversi,Gymnastics,14.0,,,F
Georgeta Gabor,Gymnastics,14.0,142.0,37.0,F
Simona Puca (-Rus),Gymnastics,14.0,150.0,42.0,F
George William Passmore,Lacrosse,14.0,,,M
Han Xue,Swimming,14.0,177.0,68.0,F
Bernard Robert Malivoire,Rowing,14.0,,,M
Bianca Ambrosetti,Gymnastics,14.0,,,F
Kuzuo Kitamura,Swimming,14.0,,,M
Mara Teresa Ramrez Gmez,Swimming,14.0,171.0,62.0,F
Ingeborg Schmitz,Swimming,14.0,,,F
Virginia Giorgi,Gymnastics,14.0,,,F
"Scott Ethan ""Scotty"" Allen",Figure Skating,14.0,163.0,69.0,M
"Sirvart ""Silva"" Emirzyan",Diving,14.0,158.0,42.0,F
Barbara Ann Marshall,Swimming,14.0,175.0,59.0,F
Krisztina Medveczky,Gymnastics,14.0,160.0,49.0,F
"Denise Parker (Knudson-, -Smith)",Archery,14.0,165.0,59.0,F
"Susan Jane ""Sue"" Pedersen (-Pankey)",Swimming,14.0,175.0,70.0,F
Nancy Ellen Garapick,Swimming,14.0,168.0,54.0,F
Bi Wenjing,Gymnastics,14.0,142.0,35.0,F
Dominique Helena Moceanu (-Canales),Gymnastics,14.0,139.0,34.0,F
Rainer Borkowsky,Rowing,14.0,,,M
Helen E. Wainwright (-Stelling),Diving,14.0,155.0,,F
Karen Lynne Moras (-Stephenson),Swimming,14.0,168.0,53.0,F
Carola Nitschke (-Beraktschjan),Swimming,14.0,172.0,62.0,F
Kyoko Iwasaki,Swimming,14.0,159.0,50.0,F
"Franciscus Fidelio Joseph ""Frans"" Hin",Sailing,14.0,,,M
Marcel Pierre Lepan,Rowing,14.0,,,M
Carolina Tronconi,Gymnastics,14.0,,,F
Giorgio Cesana,Rowing,14.0,,,M
Carolyn Virginia Wood,Swimming,14.0,167.0,60.0,F
Rita Vittadini,Gymnastics,14.0,,,F
Gunther Tiersch,Rowing,14.0,160.0,45.0,M
Mima Ito,Table Tennis,15.0,150.0,45.0,F
Ragnhild Tove Hveger (-Andersen),Swimming,15.0,,,F
Tetiana Kostiantynivna Hutsu,Gymnastics,15.0,,,F
Yang Yilin,Gymnastics,15.0,150.0,35.0,F
Yelena Arkadyevna Naimushina,Gymnastics,15.0,145.0,40.0,F
Go Gi-Hyeon,Short Track Speed Skating,15.0,168.0,58.0,F
"Rica Reinisch (-Assmann, -Neumann)",Swimming,15.0,178.0,66.0,F
Edna Tildesley Hughes (-Redwood),Swimming,15.0,160.0,,F
Ren Qian,Diving,15.0,162.0,49.0,F
Carin Maria Nilsson (-Lommerin),Swimming,15.0,,,F
Olga Vyacheslavovna Glatskikh,Rhythmic Gymnastics,15.0,170.0,50.0,F
Maxi Gnauck,Gymnastics,15.0,148.0,33.0,F
Petra Priemer (-Brinkmann),Swimming,15.0,175.0,68.0,F
Marianne Yvonne Heemskerk (-Oudkerk-),Swimming,15.0,152.0,55.0,F
Louise Otto (-Sander),Swimming,15.0,,,F
Sarah Lucy Hardcastle (-Thomas),Swimming,15.0,183.0,60.0,F
Erik Pausin,Figure Skating,15.0,,,M
Katharina Rensch (-Schirmer),Gymnastics,15.0,159.0,45.0,F
Maxi Herber (-Baier),Figure Skating,15.0,,,F
Christine Herbst (-Paulick),Swimming,15.0,167.0,57.0,F
Alejandra Orozco Loza,Diving,15.0,156.0,47.0,F
Allison Ann Higson (-Cavanaugh),Swimming,15.0,180.0,70.0,F
Ayumu Hirano,Snowboarding,15.0,160.0,50.0,M
Jennifer Leigh Hooker (-Brinegar),Swimming,15.0,175.0,57.0,F
"Edwin T. ""Ed"" Gross",Gymnastics,15.0,,,M
"Judith White ""Judy"" Playfair",Swimming,15.0,162.0,57.0,F
"Shane Elizabeth Gould (-Innis, -Nelms)",Swimming,15.0,171.0,59.0,F
Carl Heinrich Goler,Rowing,15.0,,,M
Gabriela Potorac,Gymnastics,15.0,144.0,35.0,F
Kharikleia Pantazi,Rhythmic Gymnastics,15.0,164.0,41.0,F
Lorena Gurndez Garca,Rhythmic Gymnastics,15.0,170.0,46.0,F
Huang Qun,Gymnastics,15.0,150.0,38.0,F
Berith Agneta Eriksson,Swimming,15.0,179.0,67.0,F
Michelle Richardson Armengol (-Ahlers),Swimming,15.0,165.0,48.0,F
Mariana Constantin,Gymnastics,15.0,160.0,46.0,F
Magdalena Cecilia Colledge,Figure Skating,15.0,152.0,,F
"Deborah ""Debbie"" Clarke (-Zemba)",Swimming,15.0,166.0,56.0,F
Bruno Cipolla,Rowing,15.0,165.0,50.0,M
